year,gu,빈집_소계,단독주택,아파트,연립주택,다세대주택,비거주용_건물내_주택,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥),소음_소계,대기_소계,수질_소계
2020,종로구,2194,330,566,310,896,92,0.041,0.003,0.7,0.003,35.0,25.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.045,0.002,0.9,0.004,49.0,37.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.038,0.01,0.9,0.004,66.0,48.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.042,0.013,1.0,0.005,55.0,41.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.05,0.007,1.0,0.005,54.0,40.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.044,0.004,0.8,0.004,39.0,29.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.032,0.008,0.7,0.003,10.0,7.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.022,0.015,0.6,0.003,29.0,23.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.022,0.019,0.6,0.004,53.0,45.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.04,0.009,0.9,0.004,70.0,59.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.036,0.014,0.9,0.004,54.0,44.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.019,0.022,0.6,0.004,48.0,38.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.021,0.018,0.5,0.003,27.0,20.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.035,0.011,0.7,0.004,30.0,23.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.03,0.013,0.6,0.004,37.0,27.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.037,0.011,0.7,0.004,44.0,32.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.048,0.007,0.9,0.005,58.0,40.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.046,0.009,0.9,0.005,61.0,42.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.038,0.014,0.9,0.004,64.0,48.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.025,0.019,0.6,0.004,54.0,33.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.042,0.01,0.7,0.005,42.0,27.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.052,0.004,0.9,0.005,43.0,30.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.042,0.016,0.9,0.005,63.0,44.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.031,0.017,0.8,0.004,72.0,52.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.038,0.009,0.8,0.004,49.0,37.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.023,0.019,0.5,0.004,26.0,19.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.01,0.027,0.3,0.003,11.0,6.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.021,0.02,0.5,0.003,13.0,7.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.03,0.013,0.5,0.003,16.0,9.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.03,0.014,0.6,0.003,17.0,12.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.032,0.014,0.6,0.003,27.0,19.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.038,0.016,0.9,0.004,70.0,54.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.029,0.02,0.8,0.004,72.0,56.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.016,0.023,0.4,0.003,25.0,18.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.026,0.016,0.5,0.003,24.0,18.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.012,0.019,0.4,0.003,24.0,14.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.032,0.01,0.6,0.004,37.0,22.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.033,0.012,0.6,0.003,34.0,24.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.013,0.024,0.5,0.003,41.0,32.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.026,0.017,0.6,0.003,37.0,26.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.048,0.011,0.8,0.004,50.0,35.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.058,0.008,0.9,0.005,55.0,36.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.056,0.004,1.0,0.005,48.0,33.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.036,0.013,0.8,0.003,76.0,55.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.048,0.009,1.0,0.004,87.0,63.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.04,0.018,0.8,0.004,64.0,48.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.013,0.021,0.5,0.003,28.0,20.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.015,0.022,0.5,0.003,39.0,20.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.022,0.019,0.5,0.003,24.0,17.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.047,0.008,0.8,0.003,34.0,25.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.052,0.008,0.8,0.004,60.0,45.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.047,0.013,0.8,0.004,64.0,48.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.016,0.026,0.6,0.003,71.0,37.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.019,0.024,0.4,0.003,23.0,13.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.045,0.013,0.6,0.004,36.0,21.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.029,0.018,0.5,0.003,21.0,13.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.026,0.018,0.6,0.003,18.0,11.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.026,0.018,0.5,0.003,13.0,9.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.044,0.005,0.7,0.003,25.0,17.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.031,0.015,0.6,0.003,24.0,17.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.033,0.012,0.7,0.003,44.0,32.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.019,0.025,0.5,0.003,39.0,30.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.035,0.016,0.6,0.004,44.0,34.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.017,0.028,0.5,0.003,47.0,37.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.021,0.022,0.5,0.003,36.0,29.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.049,0.009,0.7,0.003,40.0,29.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.047,0.013,0.7,0.004,52.0,39.0,2016,111,206
2020,종로구,2194,330,566,310,896,92,0.041,0.02,0.7,0.004,53.0,41.0,2016,111,206
